category_name,question,answer,difficulty
Science,What is H2O?,Water,1
Science,What planet is known as the Red Planet?,Mars,2
Science,What gas do plants absorb?,Carbon Dioxide,3
Science,What particle has a negative charge?,Electron,4
Science,What is the speed of light in m/s?,299792458,5
History,In what year did World War II end?,1945,1
History,Who was the first president of the USA?,George Washington,2
History,What wall fell in 1989?,Berlin Wall,3
History,What was the Roman Empire's capital?,Rome,4
History,Who wrote the Communist Manifesto?,Karl Marx,5
Art,Who painted the Starry Night?,Vincent van Gogh,1
Art,What musical instrument has 88 keys?,Piano,2
Art,Who sculpted David?,Michelangelo,3
Art,What is the art of paper folding called?,Origami,4
Art,Which composer wrote the 5th Symphony?,Beethoven,5
Technology,What does CPU stand for?,Central Processing Unit,1
Technology,What does RAM stand for?,Random Access Memory,2
Technology,What company created the iPhone?,Apple,3
Technology,Who developed the theory of relativity?,Einstein,4
Technology,What is the binary value of decimal 10?,1010,5
Literature,Who wrote "Hamlet"?,William Shakespeare,1
Literature,What language is spoken in Brazil?,Portuguese,2
Literature,Who wrote "The Hobbit"?,J.R.R. Tolkien,3
Literature,What is the author of "1984"?,George Orwell,4
Literature,What ancient text begins with "In the beginning..."?,The Bible,5
Literature,What is a human being?,Nothing,5
Literature,What is not a human being?,Nothing,5
Literature,What isnt a human being?,Nothing,5
Literature,What is maybe a human being?,Nothing,5
